,idnum,p6a1_int,p6a2_1_int,p6a2_2_int,p6a2_3_int,p6a2_4_int,p6a2_5_int,p6a2_91_int,p6a2_101_int,p6a3_int,p6a4_int,p6b1_int,p6b2_int,p6b3_int,p6b4_int,p6b5_int,p6b6_int,p6b7_int,p6b8_int,p6b9_int,p6b9_101_int,p6b9_102_int,p6b9_103_int,p6b9_104_int,p6b9_105_int,p6b9_106_int,p6b9_107_int,p6b10_int,p6b11_int,p6b12_int,p6b12_101_int,p6b12_102_int,p6b12_103_int,p6b12_104_int,p6b12_105_int,p6b13_int,p6b14_int,p6b15_int,p6b16_int,p6b17_int,p6b18_int,p6b19_int,p6b20_int,p6b21_int,p6b22_int,p6b23_int,p6b24_int,p6b25_int,p6b26_int,p6b27_1_int,p6b27_2_int,p6b27_3_int,p6b27_4_int,p6b27_5_int,p6b27_6_int,p6b27_7_int,p6b27_8_int,p6b27_9_int,p6b27_10_int,p6b27_11_int,p6b27_12_int,p6b28_int,p6b29_int,p6b30_int,p6b31_int,p6b32_int,p6b33_1_int,p6b33_2_int,p6b33_3_int,p6b33_4_int,p6b33_5_int,p6b33_6_int,p6b33_7_int,p6b34_int,p6b35_int,p6b36_int,p6b37_int,p6b38_int,p6b39_int,p6b40_int,p6b41_int,p6b42_int,p6b43_int,p6b44_int,p6b45_int,p6b46_int,p6b47_int,p6b48_int,p6b49_int,p6b50_int,p6b51_int,p6b52_int,p6b53_int,p6b54_int,p6b55_int,p6b56_int,p6b57_int,p6b58_int,p6b59_int,p6b60_int,p6b61_int,p6b62_int,p6b63_int,p6b64_int,p6b65_int,p6b66_int,p6b67_int,p6b68_int,p6b69_int,p6b70_int,p6b71_int,p6b72_int,p6c1_int,p6c3_int,p6c4_int,p6c5_int,p6c6_int,p6c7_int,p6c8_int,p6c9_int,p6c10_int,p6c11_int,p6c12_int,p6c13_int,p6c14_int,p6c15_int,p6c16_int,p6c17_int,p6c18_int,p6c19_int,p6c20_int,p6c21_int,p6c22_int,p6c23_int,p6c24_int,p6c25_int,p6c26_int,p6c27_int,p6d1_int,p6d2_int,p6d3_int,p6d4_int,p6d5_int,p6d6_int,p6d7_int,p6d8_int,p6d9_int,p6d10_int,p6d11_int,p6d12_int,p6d13_int,p6d14_int,p6d15_int,p6d16_int,p6d17_int,p6d18_int,p6d19_int,p6d20_int,p6d21a_int,p6d21_int,p6d22_int,p6d23_int,p6d24_int,p6d25_int,p6d26_int,p6d27_int,p6d28_int,p6d29_int,p6d30_int,p6d31_int,p6d32_int,p6d33_int,p6d34_int,p6d35_int,p6d36_int,p6d37_int,p6d38_int,p6d39_int,p6e1_int,p6e2a_int,p6e2b_int,p6e3_int,p6e4a_int,p6e4b_int,p6e5a_int,p6e5b_int,p6e6a_int,p6e6b_int,p6e7a_int,p6e7b_int,p6e8_int,p6e10_int,p6e11a_int,p6e11b_int,p6e12a_int,p6e12b_int,p6e13_int,p6e13a1_int,p6e13a2_int,p6e14_int,p6e15_int,p6e16_int,p6e17_int,p6e18_int,p6e19_int,p6e20_int,p6e21_int,p6e22_int,p6e23_int,p6e24_int,p6e25_int,p6e26_int,p6e27_1_int,p6e27_2_int,p6e27_3_int,p6e27_4_int,p6e27_5_int,p6e28_int,p6e29_int,p6e30_int,p6e31_int,p6e32_int,p6e33_1_int,p6e33_2_int,p6e33_3_int,p6e33_4_int,p6e33_101_int,p6e33_102_int,p6e33_103_int,p6e34_int,p6e35_int,p6e36_int,p6e37_int,p6e38_int,p6e39_int,p6e40_int,p6e41_int,p6e42_int,p6f1_int,p6f2_int,p6f3_int,p6f4_int,p6f5_int,p6f6_int,p6f7_int,p6f8_int,p6f9_int,p6f10_int,p6f11_int,p6f12_int,p6f13_int,p6f14_int,p6f15_int,p6f16_int,p6f17_int,p6f18_int,p6f19_int,p6f20_int,p6f21_int,p6f22_int,p6f23_int,p6f25_int,p6f26_int,p6f27a_int,p6f27b_int,p6f28_int,p6f29_int,p6f29a_int,p6f30_int,p6f31_int,p6f32_int,p6f33_int,p6f34_int,p6f35_int,p6f36_int,p6f37_int,p6g1_int,p6g2_int,p6g3_int,p6g4a_int,p6g4b_int,p6g5_int,p6g6_int,p6g6a_int,p6g7_int,p6g8_int,p6g9_int,p6g10_int,p6g11_int,p6g12_int,p6g13_int,p6g14_int,p6g15_int,p6g16_int,p6g17_int,p6g18_int,p6g19_int,p6g20_int,p6g21_int,p6g22_int,p6g23_int
210,0211,,,,,,,,,,,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,,,,,,,,2.0,2.0,2.0,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,1.0,0.0,2.0,,,,,,,,,,,,,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,,,2.0,10.0,3.0,1.0,1.0,1.0,3.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,,2.0,,1.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,4.0,0.0,1.0,3.0,3.0,3.0,2.0,2.0,1.0,5.0,5.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,2.0,,,,,,,,1.0,,1.0,1.0,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,1.0,,,52.0,50000.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,2.0,2.0,,,,,
211,0212,,,,,,,,,,,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,,,,,,,,1.0,1.0,2.0,,,,,,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,1.0,0.0,2.0,,,,,,,,,,,,,2.0,1.0,0.0,1.0,,,,,,,,,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,3.0,3.0,2.0,1.0,1.0,1.0,2.0,3.0,3.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,1.0,3.0,2.0,2.0,,,1.0,9.0,12.0,1.0,3.0,2.0,2.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,,,,1.0,1.0,1.0,3.0,3.0,3.0,1.0,3.0,3.0,1.0,4.0,4.0,4.0,3.0,3.0,3.0,2.0,2.0,1.0,5.0,7.0,2.0,4.0,4.0,1.0,3.0,1.0,2.0,3.0,7.0,,,,,,,,,,,,1.0,2.0,,,7.0,2014.0,1.0,3.0,,,1.0,30.0,1.0,2.0,,1.0,1.0,0.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,,,,2.0,,1.0,2.0,2.0,,,,3.0,0.0,,4.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,,5.0,2.0,,,1.0,,8.0,,,,3.0,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,8.0,,,52.0,,9.0,1.0,1.0,2.0,1.0,2.0,2.0,,,,,2.0,2.0,,,,,
212,0213,,,,,,,,,,,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,2.0,2.0,2.0,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,2.0,,,,,,,,,,,,,1.0,2.0,0.0,1.0,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,,,1.0,11.0,3.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,,2.0,,2.0,,1.0,3.0,3.0,1.0,1.0,3.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,1.0,5.0,4.0,2.0,4.0,4.0,4.0,2.0,1.0,4.0,4.0,6.0,,,,,,,,,,,,1.0,2.0,,,6.0,2014.0,1.0,4.0,,,1.0,39.0,2.0,2.0,,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,,,,,,,,2.0,,1.0,1.0,2.0,,,,3.0,1.0,4.0,3.0,1.0,2.0,1.0,3.0,1.0,2.0,,,,,,,,,,1.0,160.0,,3.0,,10.0,1.0,,,,,,,,1.0,,1.0,1.0,2.0,2.0,1.0,1.0,1.0,,,52.0,,,1.0,2.0,2.0,1.0,2.0,2.0,,,,,2.0,2.0,,,,,2.0
215,0216,,,,,,,,,,,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,2.0,2.0,2.0,,,,,,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,2.0,,,,,,,,,,,,,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,,,1.0,11.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,,2.0,,2.0,,1.0,3.0,3.0,3.0,2.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,3.0,3.0,1.0,3.0,0.0,3.0,2.0,2.0,3.0,3.0,3.0,1.0,5.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,3.0,3.0,3.0,,,,,,,,,,,,1.0,3.0,,,,,2.0,,6.0,,1.0,44.0,2.0,2.0,,1.0,1.0,0.0,2.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,2.0,,,,,,,,2.0,,1.0,1.0,2.0,,,,1.0,0.0,3.0,3.0,1.0,2.0,3.0,1.0,1.0,1.0,360.0,,1.0,1.0,0.0,,1.0,30000.0,,,,,2.0,,,1.0,,,52.0,,,,2.0,2.0,2.0,1.0,2.0,,,2.0,,1.0,,,52.0,,,2.0,2.0,2.0,1.0,2.0,2.0,,,,,2.0,2.0,,,,,2.0
216,0217,,,,,,,,,,,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,1.0,1.0,2.0,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,,,1.0,10.0,3.0,1.0,3.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,,2.0,2.0,3.0,2.0,1.0,2.0,6.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,3.0,3.0,1.0,3.0,3.0,1.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,,7.0,2.0,4.0,4.0,2.0,3.0,2.0,3.0,4.0,,,,,,,,,,,,,1.0,1.0,9.0,2007.0,,,1.0,15.0,,1.0,,,,,,,1.0,1.0,0.0,,,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,,,,,,,,0.0,,,,2.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,1.0,,,52.0,70000.0,7.0,2.0,2.0,2.0,1.0,2.0,2.0,,,,,2.0,2.0,,,,,
217,0218,,,,,,,,,,,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,2.0,2.0,2.0,,,,,,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,,,,,,,,,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,,,2.0,9.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,,2.0,,1.0,2.0,3.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,3.0,1.0,3.0,1.0,1.0,4.0,4.0,2.0,3.0,3.0,2.0,2.0,2.0,1.0,5.0,0.0,1.0,3.0,4.0,2.0,2.0,3.0,2.0,3.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,0.0,2.0,,,,,,,,1.0,,1.0,1.0,2.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,0219,,,,,,,,,,,3.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,,,,,,,,1.0,2.0,2.0,,,,,,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,1.0,0.0,2.0,,,,,,,,,,,,,1.0,1.0,0.0,1.0,,,,,,,,,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,2.0,,,1.0,10.0,4.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,,,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,,2.0,2.0,3.0,3.0,3.0,2.0,4.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,4.0,2.0,4.0,2.0,3.0,3.0,3.0,2.0,2.0,5.0,7.0,1.0,2.0,1.0,1.0,3.0,1.0,3.0,3.0,7.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,2.0,0.0,2.0,,,,,,,,1.0,,2.0,,2.0,,,,3.0,0.0,5.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,,5.0,2.0,,,1.0,,,,,,3.0,,,,,,,,,,,,1.0,,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
220,0221,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,2.0,2.0,2.0,,,,,,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,15.0,2.0,2.0,1.0,0.0,2.0,,,,,,,,,,,,,1.0,6.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,2.0,,,1.0,11.0,3.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,,2.0,2.0,1.0,0.0,1.0,3.0,2.0,,3.0,3.0,3.0,3.0,1.0,3.0,3.0,2.0,2.0,,,,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,5.0,3.0,0.0,3.0,2.0,2.0,2.0,1.0,1.0,5.0,0.0,2.0,2.0,4.0,4.0,3.0,2.0,4.0,4.0,3.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,2.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,,,,1.0,,2.0,,2.0,,,,2.0,20.0,4.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,,,,,,,,,,1.0,2820.0,,3.0,,5.0,1.0,,,,,,,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,0222,,,,,,,,,,,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,,1.0,,,,,,2.0,2.0,2.0,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,1.0,0.0,2.0,,,,,,,,,,,,,1.0,1.0,0.0,1.0,,,,,,,,,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,,,1.0,9.0,2.0,1.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,,2.0,,1.0,3.0,3.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,3.0,3.0,1.0,1.0,3.0,1.0,0.0,1.0,0.0,3.0,3.0,2.0,2.0,2.0,1.0,5.0,7.0,2.0,4.0,4.0,4.0,2.0,1.0,4.0,4.0,7.0,,,,,,,,,,,,1.0,3.0,,,,,1.0,2.0,,,1.0,43.0,2.0,2.0,,1.0,1.0,0.0,2.0,1.0,1.0,0.0,,,,,,,,1.0,0.0,2.0,,,,,,,,2.0,,2.0,,2.0,,,,1.0,0.0,4.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,6500.0,,1.0,2.0,,,2.0,,,,,,3.0,,,1.0,,,,,,,2.0,2.0,,1.0,2.0,,,3.0,,1.0,,,52.0,,,2.0,2.0,2.0,1.0,2.0,2.0,,,,,2.0,2.0,,,,,2.0
224,0225,,,,,,,,,,,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,2.0,2.0,2.0,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0,1.0,2.0,2.0,,,,,,,,,,,,,1.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,,,1.0,10.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,,2.0,,1.0,3.0,3.0,2.0,1.0,1.0,5.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,3.0,3.0,3.0,1.0,2.0,2.0,1.0,2.0,2.0,0.0,3.0,3.0,2.0,2.0,1.0,1.0,5.0,2.0,1.0,2.0,4.0,4.0,3.0,2.0,4.0,3.0,6.0,,,,,,,,,,,,1.0,1.0,8.0,2010.0,,,1.0,11.0,,1.0,,,,,,,1.0,0.0,0.0,,,3.0,1.0,0.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,2.0,,,,,,,,1.0,,1.0,1.0,2.0,,,,2.0,0.0,4.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,2500.0,,3.0,2.0,,,1.0,1190.0,,,,,3.0,,20.0,1.0,,,,,,,2.0,2.0,2.0,2.0,2.0,,,2.0,2.0,1.0,,,52.0,20000.0,9.0,2.0,1.0,2.0,1.0,2.0,2.0,,,,,2.0,2.0,,,,,
225,0226,,,,,,,,,,,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,2.0,2.0,2.0,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,0.0,2.0,,,,,,,,,,,,,1.0,1.0,0.0,1.0,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,,,1.0,10.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,1.0,2.0,2.0,,1.0,2.0,3.0,3.0,3.0,3.0,4.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,5.0,3.0,7.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,7.0,1.0,4.0,1.0,1.0,2.0,2.0,4.0,4.0,6.0,,,,,,,,,,7.0,2005.0,1.0,1.0,4.0,2013.0,,,1.0,7.0,,,1.0,35.0,2.0,2.0,,4.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,2.0,,,,,,,,1.0,,1.0,1.0,1.0,2.0,,1.0,3.0,0.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,,,,,,,,,,2.0,,,3.0,,500.0,5.0,,,,,,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0,4.0,,,,,,1.0,1.0,2.0,1.0,2.0,2.0,,,,,2.0,2.0,,,,,2.0
227,0228,,,,,,,,,,,3.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,,,,,,,,2.0,2.0,2.0,,,,,,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,2.0,,,,,,,,,,,,,1.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,,,4.0,,3.0,,,,,,,,,,,,,,,,,1.0,4.0,2.0,,2.0,,1.0,3.0,3.0,3.0,3.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,3.0,1.0,3.0,1.0,1.0,5.0,0.0,4.0,3.0,3.0,3.0,3.0,2.0,2.0,4.0,2.0,3.0,4.0,4.0,4.0,3.0,2.0,3.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,2.0,,,,,,,,1.0,,1.0,1.0,2.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,1.0,,,52.0,75000.0,7.0,2.0,2.0,2.0,1.0,2.0,2.0,,,,,2.0,2.0,,,,,
228,0229,,,,,,,,,,,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,1.0,2.0,1.0,,1.0,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,1.0,0.0,2.0,,,,,,,,,,,,,1.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,,,1.0,9.0,6.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,,2.0,,2.0,,2.0,2.0,2.0,3.0,2.0,1.0,5.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,3.0,2.0,2.0,3.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,4.0,3.0,4.0,7.0,,,,,,,,,,,,1.0,2.0,,,,2007.0,1.0,8.0,,1.0,,,,,,,2.0,,,,,3.0,1.0,1.0,0.0,1.0,0.0,3.0,3.0,0.0,0.0,2.0,,,,,,,,1.0,,1.0,1.0,2.0,,,,1.0,0.0,5.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,,4.0,1.0,2.0,,,2.0,,,,,,3.0,,180.0,1.0,,,52.0,,,,2.0,,,,2.0,,,2.0,3.0,1.0,,,52.0,500.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,2.0,2.0,,,,,
